text,predicted_label
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 0),Netral
"Barang rusak saat sampai, saya sangat kecewa. (Variasi 1)",Negatif
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 2),Netral
"Ukuran produk sedang, tidak terlalu besar atau kecil. (Variasi 3)",Netral
Kualitas tidak sesuai dengan harga yang dibayar. (Variasi 4),Negatif
"Barang rusak saat sampai, saya sangat kecewa. (Variasi 5)",Negatif
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 6),Positif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 7),Positif
Pelayanan buruk dan respon admin sangat lambat. (Variasi 8),Negatif
Barang sampai sesuai dengan deskripsi produk. (Variasi 9),Netral
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 10),Positif
Fungsi produk berjalan normal seperti biasa. (Variasi 11),Netral
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 12),Positif
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 13),Netral
Pelayanan buruk dan respon admin sangat lambat. (Variasi 14),Negatif
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 15),Positif
Paket sudah diterima dengan kondisi standar. (Variasi 16),Netral
"Saya menyesal membeli produk ini, tidak berguna. (Variasi 17)",Negatif
Produk ini sangat luar biasa dan membantu saya. (Variasi 18),Positif
Paket sudah diterima dengan kondisi standar. (Variasi 19),Netral
Pelayanan buruk dan respon admin sangat lambat. (Variasi 20),Negatif
"Saya menyesal membeli produk ini, tidak berguna. (Variasi 21)",Negatif
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 22),Netral
Barang sampai sesuai dengan deskripsi produk. (Variasi 23),Netral
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 24),Netral
Barang sampai sesuai dengan deskripsi produk. (Variasi 25),Netral
Kualitas tidak sesuai dengan harga yang dibayar. (Variasi 26),Negatif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 27),Positif
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 28),Positif
Fungsi produk berjalan normal seperti biasa. (Variasi 29),Netral
"Saya menyesal membeli produk ini, tidak berguna. (Variasi 30)",Negatif
"Barang rusak saat sampai, saya sangat kecewa. (Variasi 31)",Negatif
"Pengiriman sangat lama, hampir dua minggu. (Variasi 32)",Negatif
"Saya menyesal membeli produk ini, tidak berguna. (Variasi 33)",Negatif
"Ukuran produk sedang, tidak terlalu besar atau kecil. (Variasi 34)",Netral
Barang sampai sesuai dengan deskripsi produk. (Variasi 35),Netral
Kualitas tidak sesuai dengan harga yang dibayar. (Variasi 36),Negatif
Barang sampai sesuai dengan deskripsi produk. (Variasi 37),Netral
"Pengiriman sangat lama, hampir dua minggu. (Variasi 38)",Negatif
Pelayanan buruk dan respon admin sangat lambat. (Variasi 39),Negatif
"Barang rusak saat sampai, saya sangat kecewa. (Variasi 40)",Negatif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 41),Positif
Produk ini sangat luar biasa dan membantu saya. (Variasi 42),Positif
"Kualitas barangnya jempolan, sangat direkomendasikan. (Variasi 43)",Positif
"Barang rusak saat sampai, saya sangat kecewa. (Variasi 44)",Negatif
Produk ini sangat luar biasa dan membantu saya. (Variasi 45),Positif
"Ukuran produk sedang, tidak terlalu besar atau kecil. (Variasi 46)",Netral
"Ukuran produk sedang, tidak terlalu besar atau kecil. (Variasi 47)",Netral
"Kualitas barangnya jempolan, sangat direkomendasikan. (Variasi 48)",Positif
Barang sampai sesuai dengan deskripsi produk. (Variasi 49),Netral
Kualitas tidak sesuai dengan harga yang dibayar. (Variasi 50),Negatif
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 51),Positif
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 52),Positif
Barang sampai sesuai dengan deskripsi produk. (Variasi 53),Netral
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 54),Positif
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 55),Netral
"Kualitas barangnya jempolan, sangat direkomendasikan. (Variasi 56)",Positif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 57),Positif
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 58),Positif
Pelayanan buruk dan respon admin sangat lambat. (Variasi 59),Negatif
